country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
8,1987,0,1,21.0,312900,6.71,Albania1987,0.673,2.157,796,3
8,1987,0,3,16.0,308000,5.19,Albania1987,0.673,2.157,796,1
8,1987,1,1,14.0,289700,4.83,Albania1987,0.673,2.157,796,3
8,1987,0,5,1.0,21800,4.59,Albania1987,0.673,2.157,796,0
8,1987,0,2,9.0,274300,3.28,Albania1987,0.673,2.157,796,2
8,1987,1,5,1.0,35600,2.81,Albania1987,0.673,2.157,796,0
8,1987,1,3,6.0,278800,2.15,Albania1987,0.673,2.157,796,1
8,1987,1,2,4.0,257200,1.56,Albania1987,0.673,2.157,796,2
8,1987,0,4,1.0,137500,0.73,Albania1987,0.673,2.157,796,0
8,1987,1,0,7.462,311000,0.0,Albania1987,0.673,2.157,796,3
8,1987,1,4,7.462,144600,0.0,Albania1987,0.673,2.157,796,0
8,1987,0,0,7.462,338200,0.0,Albania1987,0.673,2.157,796,3
8,1988,1,5,2.0,36400,5.49,Albania1988,0.673,2.126,769,0
8,1988,0,1,17.0,319200,5.33,Albania1988,0.673,2.126,769,3
8,1988,0,5,1.0,22300,4.48,Albania1988,0.673,2.126,769,0
8,1988,0,3,14.0,314100,4.46,Albania1988,0.673,2.126,769,1
8,1988,0,4,4.0,140200,2.85,Albania1988,0.673,2.126,769,0
8,1988,1,1,8.0,295600,2.71,Albania1988,0.673,2.126,769,3
8,1988,1,4,3.0,147500,2.03,Albania1988,0.673,2.126,769,0
8,1988,1,2,5.0,262400,1.91,Albania1988,0.673,2.126,769,2
8,1988,0,2,5.0,279900,1.79,Albania1988,0.673,2.126,769,2
8,1988,1,3,4.0,284500,1.41,Albania1988,0.673,2.126,769,1
8,1988,1,0,7.462,317200,0.0,Albania1988,0.673,2.126,769,3
8,1988,0,0,7.462,345000,0.0,Albania1988,0.673,2.126,769,3
8,1989,0,5,2.0,22500,8.89,Albania1989,0.673,2.335,833,0
8,1989,0,2,18.0,283600,6.35,Albania1989,0.673,2.335,833,2
8,1989,0,3,15.0,318400,4.71,Albania1989,0.673,2.335,833,1
8,1989,0,4,6.0,142100,4.22,Albania1989,0.673,2.335,833,0
8,1989,0,1,12.0,323500,3.71,Albania1989,0.673,2.335,833,3
8,1989,1,3,7.0,288600,2.43,Albania1989,0.673,2.335,833,1
8,1989,1,1,5.0,299900,1.67,Albania1989,0.673,2.335,833,3
8,1989,1,2,2.0,266300,0.75,Albania1989,0.673,2.335,833,2
8,1989,1,4,1.0,149600,0.67,Albania1989,0.673,2.335,833,0
8,1989,1,0,7.462,321900,0.0,Albania1989,0.673,2.335,833,3
8,1989,1,5,7.462,37000,0.0,Albania1989,0.673,2.335,833,0
8,1989,0,0,7.462,349700,0.0,Albania1989,0.673,2.335,833,3
8,1992,0,3,12.0,343800,3.49,Albania1992,0.673,0.709,251,2
8,1992,0,1,9.0,263700,3.41,Albania1992,0.673,0.709,251,3
8,1992,0,4,5.0,159500,3.13,Albania1992,0.673,0.709,251,1
8,1992,0,2,7.0,245500,2.85,Albania1992,0.673,0.709,251,2
8,1992,1,1,7.0,292400,2.39,Albania1992,0.673,0.709,251,3
8,1992,1,2,4.0,267400,1.5,Albania1992,0.673,0.709,251,2
8,1992,1,3,2.0,323100,0.62,Albania1992,0.673,0.709,251,2
8,1992,1,4,1.0,164900,0.61,Albania1992,0.673,0.709,251,1
8,1992,1,0,7.462,336700,0.0,Albania1992,0.673,0.709,251,4
8,1992,1,5,7.462,38700,0.0,Albania1992,0.673,0.709,251,0
8,1992,0,0,7.462,362900,0.0,Albania1992,0.673,0.709,251,4
8,1992,0,5,7.462,23900,0.0,Albania1992,0.673,0.709,251,0
8,1993,0,1,18.0,243300,7.4,Albania1993,0.673,1.228,437,3
8,1993,0,4,7.0,165000,4.24,Albania1993,0.673,1.228,437,1
8,1993,0,5,1.0,24200,4.13,Albania1993,0.673,1.228,437,0
8,1993,0,2,9.0,230100,3.91,Albania1993,0.673,1.228,437,2
8,1993,1,1,10.0,285300,3.51,Albania1993,0.673,1.228,437,3
8,1993,0,3,10.0,350300,2.85,Albania1993,0.673,1.228,437,2
8,1993,1,2,7.0,261800,2.67,Albania1993,0.673,1.228,437,2
8,1993,1,3,7.0,331200,2.11,Albania1993,0.673,1.228,437,2
8,1993,1,4,2.0,169500,1.18,Albania1993,0.673,1.228,437,1
8,1993,1,0,1.0,340300,0.29,Albania1993,0.673,1.228,437,4
8,1993,0,0,1.0,367000,0.27,Albania1993,0.673,1.228,437,4
8,1993,1,5,7.462,39300,0.0,Albania1993,0.673,1.228,437,0
8,1994,0,5,2.0,24600,8.13,Albania1994,0.673,1.986,697,0
8,1994,0,4,11.0,171400,6.42,Albania1994,0.673,1.986,697,1
8,1994,1,5,2.0,39900,5.01,Albania1994,0.673,1.986,697,0
8,1994,0,2,6.0,231400,2.59,Albania1994,0.673,1.986,697,2
8,1994,0,3,9.0,362800,2.48,Albania1994,0.673,1.986,697,2
8,1994,0,1,6.0,242200,2.48,Albania1994,0.673,1.986,697,3
8,1994,1,1,6.0,282600,2.12,Albania1994,0.673,1.986,697,3
8,1994,1,2,4.0,261100,1.53,Albania1994,0.673,1.986,697,2
8,1994,1,3,2.0,342500,0.58,Albania1994,0.673,1.986,697,2
8,1994,1,4,1.0,174600,0.57,Albania1994,0.673,1.986,697,1
8,1994,0,0,1.0,371800,0.27,Albania1994,0.673,1.986,697,4
8,1994,1,0,7.462,344400,0.0,Albania1994,0.673,1.986,697,4
8,1995,0,2,13.0,232900,5.58,Albania1995,0.619,2.424,835,3
8,1995,0,4,9.0,178000,5.06,Albania1995,0.619,2.424,835,1
8,1995,1,5,2.0,40800,4.9,Albania1995,0.619,2.424,835,0
8,1995,1,1,13.0,283500,4.59,Albania1995,0.619,2.424,835,3
8,1995,0,1,11.0,241200,4.56,Albania1995,0.619,2.424,835,3
8,1995,0,5,1.0,25100,3.98,Albania1995,0.619,2.424,835,0
8,1995,0,3,14.0,375900,3.72,Albania1995,0.619,2.424,835,2
8,1995,1,2,7.0,264000,2.65,Albania1995,0.619,2.424,835,3
8,1995,1,3,8.0,356400,2.24,Albania1995,0.619,2.424,835,2
8,1995,0,0,6.0,376500,1.59,Albania1995,0.619,2.424,835,4
8,1995,1,4,2.0,180400,1.11,Albania1995,0.619,2.424,835,1
8,1995,1,0,2.0,348700,0.57,Albania1995,0.619,2.424,835,4
8,1996,0,5,2.0,25400,7.87,Albania1996,0.673,3.315,1127,0
8,1996,0,1,17.0,243600,6.98,Albania1996,0.673,3.315,1127,3
8,1996,0,2,14.0,235300,5.95,Albania1996,0.673,3.315,1127,3
8,1996,1,1,16.0,287700,5.56,Albania1996,0.673,3.315,1127,3
8,1996,1,5,2.0,41200,4.85,Albania1996,0.673,3.315,1127,0
8,1996,1,2,10.0,267900,3.73,Albania1996,0.673,3.315,1127,3
8,1996,0,3,12.0,379600,3.16,Albania1996,0.673,3.315,1127,2
8,1996,1,3,9.0,362000,2.49,Albania1996,0.673,3.315,1127,2
8,1996,0,4,3.0,179900,1.67,Albania1996,0.673,3.315,1127,1
8,1996,1,4,1.0,183100,0.55,Albania1996,0.673,3.315,1127,1
8,1996,0,0,2.0,380400,0.53,Albania1996,0.673,3.315,1127,4
8,1996,1,0,1.0,354100,0.28,Albania1996,0.673,3.315,1127,4
8,1997,0,2,36.0,236000,15.25,Albania1997,0.673,2.36,793,3
8,1997,0,1,33.0,244400,13.5,Albania1997,0.673,2.36,793,3
8,1997,0,5,3.0,25400,11.81,Albania1997,0.673,2.36,793,0
8,1997,0,3,30.0,380800,7.88,Albania1997,0.673,2.36,793,2
8,1997,1,1,21.0,294000,7.14,Albania1997,0.673,2.36,793,3
8,1997,0,4,12.0,180300,6.66,Albania1997,0.673,2.36,793,1
8,1997,1,2,16.0,273900,5.84,Albania1997,0.673,2.36,793,3
8,1997,1,5,2.0,42100,4.75,Albania1997,0.673,2.36,793,0
8,1997,1,3,7.0,370100,1.89,Albania1997,0.673,2.36,793,2
8,1997,1,0,6.0,361800,1.66,Albania1997,0.673,2.36,793,4
8,1997,0,0,4.0,381500,1.05,Albania1997,0.673,2.36,793,4
8,1997,1,4,7.462,187000,0.0,Albania1997,0.673,2.36,793,1
8,1998,0,5,3.0,25800,11.63,Albania1998,0.673,2.707,899,0
8,1998,0,1,27.0,248800,10.85,Albania1998,0.673,2.707,899,3
8,1998,1,1,32.0,295600,10.83,Albania1998,0.673,2.707,899,3
8,1998,0,2,26.0,240400,10.82,Albania1998,0.673,2.707,899,3
8,1998,0,3,29.0,388200,7.47,Albania1998,0.673,2.707,899,2
8,1998,0,4,9.0,183800,4.9,Albania1998,0.673,2.707,899,1
8,1998,1,2,10.0,275300,3.63,Albania1998,0.673,2.707,899,3
8,1998,1,4,6.0,188200,3.19,Albania1998,0.673,2.707,899,1
8,1998,1,3,9.0,372100,2.42,Albania1998,0.673,2.707,899,2
8,1998,0,0,2.0,388400,0.51,Albania1998,0.673,2.707,899,4
8,1998,1,0,1.0,363800,0.27,Albania1998,0.673,2.707,899,4
8,1998,1,5,7.462,42300,0.0,Albania1998,0.673,2.707,899,0
8,1999,0,5,3.0,25900,11.58,Albania1999,0.673,3.415,1127,0
8,1999,0,1,24.0,250600,9.58,Albania1999,0.673,3.415,1127,3
8,1999,1,5,4.0,42400,9.43,Albania1999,0.673,3.415,1127,0
8,1999,0,3,31.0,391100,7.93,Albania1999,0.673,3.415,1127,2
8,1999,0,2,19.0,242300,7.84,Albania1999,0.673,3.415,1127,3
8,1999,0,4,14.0,185200,7.56,Albania1999,0.673,3.415,1127,1
8,1999,1,1,19.0,296800,6.4,Albania1999,0.673,3.415,1127,3
8,1999,1,2,13.0,276500,4.7,Albania1999,0.673,3.415,1127,3
8,1999,1,4,6.0,188800,3.18,Albania1999,0.673,3.415,1127,1
8,1999,1,3,5.0,373600,1.34,Albania1999,0.673,3.415,1127,2
8,1999,1,0,1.0,365200,0.27,Albania1999,0.673,3.415,1127,4
8,1999,0,0,7.462,391300,0.0,Albania1999,0.673,3.415,1127,4
8,2000,0,2,17.0,232000,7.33,Albania2000,0.656,3.632,1299,3
8,2000,0,4,10.0,177400,5.64,Albania2000,0.656,3.632,1299,1
8,2000,1,5,2.0,37800,5.29,Albania2000,0.656,3.632,1299,0
8,2000,0,5,1.0,24900,4.02,Albania2000,0.656,3.632,1299,0
8,2000,1,1,6.0,263900,2.27,Albania2000,0.656,3.632,1299,3
8,2000,0,1,5.0,240000,2.08,Albania2000,0.656,3.632,1299,3
8,2000,1,3,5.0,332200,1.51,Albania2000,0.656,3.632,1299,2
8,2000,1,2,3.0,245800,1.22,Albania2000,0.656,3.632,1299,3
8,2000,0,3,4.0,374700,1.07,Albania2000,0.656,3.632,1299,2
8,2000,0,0,1.0,374900,0.27,Albania2000,0.656,3.632,1299,4
8,2000,1,0,7.462,324700,0.0,Albania2000,0.656,3.632,1299,4
8,2000,1,4,7.462,168000,0.0,Albania2000,0.656,3.632,1299,1
8,2001,0,2,22.0,206484,10.65,Albania2001,0.673,4.061,1451,3
8,2001,0,3,34.0,378826,8.98,Albania2001,0.673,4.061,1451,2
8,2001,0,4,11.0,196670,5.59,Albania2001,0.673,4.061,1451,1
8,2001,1,5,2.0,47254,4.23,Albania2001,0.673,4.061,1451,1
8,2001,0,1,10.0,256039,3.91,Albania2001,0.673,4.061,1451,4
8,2001,1,1,9.0,271359,3.32,Albania2001,0.673,4.061,1451,4
8,2001,1,3,12.0,370191,3.24,Albania2001,0.673,4.061,1451,2
8,2001,0,5,1.0,31044,3.22,Albania2001,0.673,4.061,1451,1
8,2001,1,4,6.0,189799,3.16,Albania2001,0.673,4.061,1451,1
8,2001,0,0,6.0,321556,1.87,Albania2001,0.673,4.061,1451,4
8,2001,1,2,4.0,222771,1.8,Albania2001,0.673,4.061,1451,3
8,2001,1,0,2.0,307356,0.65,Albania2001,0.673,4.061,1451,4
8,2002,0,5,4.0,31007,12.9,Albania2002,0.673,4.435,1573,1
8,2002,0,2,23.0,206286,11.15,Albania2002,0.673,4.435,1573,3
8,2002,0,3,35.0,382139,9.16,Albania2002,0.673,4.435,1573,2
8,2002,0,4,13.0,198130,6.56,Albania2002,0.673,4.435,1573,1
8,2002,0,1,15.0,263067,5.7,Albania2002,0.673,4.435,1573,4
8,2002,1,1,14.0,275970,5.07,Albania2002,0.673,4.435,1573,4
8,2002,1,3,15.0,375113,4.0,Albania2002,0.673,4.435,1573,2
8,2002,1,2,7.0,223685,3.13,Albania2002,0.673,4.435,1573,3
8,2002,1,5,1.0,47407,2.11,Albania2002,0.673,4.435,1573,1
8,2002,1,4,4.0,191712,2.09,Albania2002,0.673,4.435,1573,1
8,2002,1,0,1.0,304850,0.33,Albania2002,0.673,4.435,1573,4
8,2002,0,0,1.0,319473,0.31,Albania2002,0.673,4.435,1573,4
8,2003,1,5,6.0,49088,12.22,Albania2003,0.673,5.747,2021,1
8,2003,0,4,16.0,201520,7.94,Albania2003,0.673,5.747,2021,1
8,2003,0,3,28.0,386196,7.25,Albania2003,0.673,5.747,2021,2
8,2003,0,1,15.0,273235,5.49,Albania2003,0.673,5.747,2021,4
8,2003,1,1,14.0,283709,4.93,Albania2003,0.673,5.747,2021,4
8,2003,1,4,9.0,195699,4.6,Albania2003,0.673,5.747,2021,1
8,2003,0,2,9.0,205433,4.38,Albania2003,0.673,5.747,2021,3
8,2003,1,2,9.0,222941,4.04,Albania2003,0.673,5.747,2021,3
8,2003,1,3,13.0,381760,3.41,Albania2003,0.673,5.747,2021,2
8,2003,0,5,1.0,32667,3.06,Albania2003,0.673,5.747,2021,1
8,2003,0,0,4.0,313204,1.28,Albania2003,0.673,5.747,2021,4
8,2003,1,0,7.462,298477,0.0,Albania2003,0.673,5.747,2021,4
8,2004,0,5,4.0,35526,11.26,Albania2004,0.673,7.315,2544,1
8,2004,0,3,39.0,391767,9.95,Albania2004,0.673,7.315,2544,2
