country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
32,1985,0,5,202,363000,55.65,Argentina1985,0.694,88.417,3264,0
32,1985,0,4,485,1997000,24.29,Argentina1985,0.694,88.417,3264,0
32,1985,0,3,414,3346300,12.37,Argentina1985,0.694,88.417,3264,1
32,1985,1,4,210,2304000,9.11,Argentina1985,0.694,88.417,3264,0
32,1985,0,2,177,2234200,7.92,Argentina1985,0.694,88.417,3264,2
32,1985,1,5,41,537000,7.64,Argentina1985,0.694,88.417,3264,0
32,1985,0,1,156,2415200,6.46,Argentina1985,0.694,88.417,3264,3
32,1985,1,3,142,3355300,4.23,Argentina1985,0.694,88.417,3264,1
32,1985,1,2,65,2185200,2.97,Argentina1985,0.694,88.417,3264,2
32,1985,1,1,69,2354200,2.93,Argentina1985,0.694,88.417,3264,3
32,1985,0,0,16,3044200,0.53,Argentina1985,0.694,88.417,3264,3
32,1985,1,0,11,2955200,0.37,Argentina1985,0.694,88.417,3264,3
32,1986,0,5,230,365000,63.01,Argentina1986,0.78,110.934,4072,0
32,1986,0,4,530,2008300,26.39,Argentina1986,0.78,110.934,4072,0
32,1986,0,3,478,3365200,14.2,Argentina1986,0.78,110.934,4072,1
32,1986,0,2,209,2246900,9.3,Argentina1986,0.78,110.934,4072,2
32,1986,1,5,48,540200,8.89,Argentina1986,0.78,110.934,4072,0
32,1986,1,4,201,2317100,8.67,Argentina1986,0.78,110.934,4072,0
32,1986,0,1,186,2428900,7.66,Argentina1986,0.78,110.934,4072,3
32,1986,1,3,188,3374300,5.57,Argentina1986,0.78,110.934,4072,1
32,1986,1,2,96,2197600,4.37,Argentina1986,0.78,110.934,4072,2
32,1986,1,1,101,2367600,4.27,Argentina1986,0.78,110.934,4072,3
32,1986,0,0,10,3061400,0.33,Argentina1986,0.78,110.934,4072,3
32,1986,1,0,7,2971900,0.24,Argentina1986,0.78,110.934,4072,3
32,1987,0,5,200,369800,54.08,Argentina1987,0.78,111.106,4026,0
32,1987,0,4,532,2034500,26.15,Argentina1987,0.78,111.106,4026,0
32,1987,0,3,482,3409100,14.14,Argentina1987,0.78,111.106,4026,1
32,1987,1,5,57,547000,10.42,Argentina1987,0.78,111.106,4026,0
32,1987,1,4,224,2347300,9.54,Argentina1987,0.78,111.106,4026,0
