year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
1985,0,5,21.0,123400,17.02,Colombia1985,0.573,34.894,1393,0
1985,0,4,113.0,1015200,11.13,Colombia1985,0.573,34.894,1393,0
1985,0,2,193.0,2323700,8.31,Colombia1985,0.573,34.894,1393,2
1985,0,1,256.0,3190200,8.02,Colombia1985,0.573,34.894,1393,3
1985,0,3,188.0,2451100,7.67,Colombia1985,0.573,34.894,1393,1
1985,1,1,117.0,3140700,3.73,Colombia1985,0.573,34.894,1393,3
1985,1,2,45.0,2276100,1.98,Colombia1985,0.573,34.894,1393,2
1985,1,5,3.0,174000,1.72,Colombia1985,0.573,34.894,1393,0
1985,1,3,31.0,2403500,1.29,Colombia1985,0.573,34.894,1393,1
1985,1,4,12.0,1150600,1.04,Colombia1985,0.573,34.894,1393,0
1985,0,0,12.0,3443900,0.35,Colombia1985,0.573,34.894,1393,3
1985,1,0,10.0,3360000,0.3,Colombia1985,0.573,34.894,1393,3
1986,0,5,13.0,126000,10.32,Colombia1986,0.67,34.942,1366,0
1986,0,1,260.0,3258100,7.98,Colombia1986,0.67,34.942,1366,3
1986,0,2,189.0,2373200,7.96,Colombia1986,0.67,34.942,1366,2
1986,0,4,81.0,1036800,7.81,Colombia1986,0.67,34.942,1366,0
1986,0,3,187.0,2503200,7.47,Colombia1986,0.67,34.942,1366,1
1986,1,1,121.0,3207600,3.77,Colombia1986,0.67,34.942,1366,3
1986,1,2,48.0,2324500,2.06,Colombia1986,0.67,34.942,1366,2
1986,1,4,13.0,1175000,1.11,Colombia1986,0.67,34.942,1366,0
1986,1,3,26.0,2454600,1.06,Colombia1986,0.67,34.942,1366,1
1986,1,0,10.0,3431600,0.29,Colombia1986,0.67,34.942,1366,3
1986,0,0,10.0,3517300,0.28,Colombia1986,0.67,34.942,1366,3
1986,1,5,142.688,177700,0.0,Colombia1986,0.67,34.942,1366,0
1987,0,1,301.0,3533143,8.52,Colombia1987,0.67,36.373,1299,3
1987,0,4,86.0,1044703,8.23,Colombia1987,0.67,36.373,1299,0
1987,0,5,14.0,183612,7.62,Colombia1987,0.67,36.373,1299,0
1987,0,2,192.0,2615813,7.34,Colombia1987,0.67,36.373,1299,2
1987,0,3,147.0,2567656,5.73,Colombia1987,0.67,36.373,1299,1
1987,1,1,118.0,3468807,3.4,Colombia1987,0.67,36.373,1299,3
1987,1,2,29.0,2651735,1.09,Colombia1987,0.67,36.373,1299,2
1987,1,3,27.0,2755678,0.98,Colombia1987,0.67,36.373,1299,1
1987,1,4,10.0,1210423,0.83,Colombia1987,0.67,36.373,1299,0
1987,1,5,2.0,257621,0.78,Colombia1987,0.67,36.373,1299,0
1987,0,0,16.0,3924075,0.41,Colombia1987,0.67,36.373,1299,3
1987,1,0,9.0,3796166,0.24,Colombia1987,0.67,36.373,1299,3
1988,0,5,27.0,190910,14.14,Colombia1988,0.67,39.213,1369,0
1988,0,2,214.0,2696739,7.94,Colombia1988,0.67,39.213,1369,2
1988,0,4,83.0,1069673,7.76,Colombia1988,0.67,39.213,1369,0
1988,0,1,243.0,3543715,6.86,Colombia1988,0.67,39.213,1369,3
1988,0,3,160.0,2682795,5.96,Colombia1988,0.67,39.213,1369,1
1988,1,1,85.0,3480840,2.44,Colombia1988,0.67,39.213,1369,3
1988,1,5,6.0,268303,2.24,Colombia1988,0.67,39.213,1369,0
1988,1,2,41.0,2734383,1.5,Colombia1988,0.67,39.213,1369,2
1988,1,3,26.0,2877134,0.9,Colombia1988,0.67,39.213,1369,1
